x,y,date,sample_type,animal,sex,sample_name
446681,42954,2013-12-15,Tissue,041,F,AP.07LJ
445930,74960,2014-01-07,Tissue,814,M,AP.07LK
472619,66939,2014-05-04,Saliva,718,F,EE.14FM
452950,46780,2015-11-16,Scat,718,F,M1TFX
472400,77440,2014-07-18,Direct Saliva,812,F,EE.14F5
470400,62088,2014-07-23,Direct Saliva,810,M,EE.14F2
470400,62088,2014-07-23,Direct Saliva,811,F,EE.14F4
468177,59387,2014-08-24,Tissue,827,F,AP.07LF
470057,65950,2014-08-26,Tissue,813,M,AP.07LE
459875,62063,2014-09-25,Saliva,821,M,EX.1JP8
472580,66680,2014-09-30,Saliva,821,M,EE.14C8
464417,62807,2014-11-02,Tissue,821,M,M2200
454436,69264,2014-10-27,Tissue,816,M,M21YT
502700,74000,2014-11-22,Tissue,818,M,M21YP
427320,63570,2014-11-23,Tissue,815,M,M21YU
-3549,-3838,2014-11-23,Tissue,315,M,M21YY
419343,50959,2014-12-06,Tissue,820,F,M21YX
445316,44128,2014-12-15,Saliva,658,M,EX.1JJ1
446947,48774,2015-07-10,Saliva,658,M,EX.1JL4
446947,48774,2015-07-10,Saliva,658,M,EX.1JLH
451014,55761,2016-01-07,Urine,658,M,AL.05PH
450580,56289,2016-01-08,Urine,658,M,AL.05P7
453235,48543,2016-01-23,Urine,658,M,M225U
440162,45504,2015-01-04,Tissue,817,M,M21M4
425204,62144,2015-01-23,Scat,802,F,M22TX
480452,46641,2015-01-25,Scat,756,F,M1X85
472088,58969,2015-08-27,Scat,756,F,M1P21
486490,44681,2015-11-16,Saliva,756,F,M234E
489478,48190,2015-11-24,Scat,756,F,M2361
489684,48748,2015-11-24,Scat,756,F,M2362
479362,48437,2015-12-20,Scat,756,F,M1X5T
478820,56840,2016-04-13,Scat,756,F,M1T6J
476491,58375,2015-02-16,Scat,724,F,EF.15P4
483197,52675,2015-02-17,Scat,724,F,EF.1641
478001,57750,2015-07-19,Scat,724,F,M1KAK
472258,57676,2015-08-27,Scat,724,F,M1P27
472858,55984,2015-09-24,Saliva,724,F,EX.1J8J
474570,60454,2015-12-03,Scat,724,F,M2367
475863,58456,2016-01-13,Scat,724,F,M226M
476805,58057,2016-08-28,Scat,724,F,M20MH
486490,44480,2017-04-09,Scat,724,F,M1Y0C
406736,91452,2015-02-27,Scat,725,F,M226C
408728,91564,2015-06-04,Scat,725,F,EF.15P5
406435,94698,2015-06-04,Scat,725,F,EF.15PH
410020,89123,2015-09-25,Scat,725,F,M1MTL
409876,93612,2015-11-06,Scat,725,F,M1PCC
408016,91840,2015-11-06,Scat,725,F,M1UE7
408760,92687,2017-02-26,Scat,725,F,M2242
408930,93189,2017-02-26,Scat,725,F,M2243
408652,92371,2017-02-26,Scat,725,F,M22AH
417829,88197,2017-03-21,Scat,725,F,M1PP3
438828,68642,2015-04-03,Tissue,825,F,M2205
428681,63729,2015-07-16,Scat,727,M,M1KCT
433612,68098,2015-07-28,Saliva,727,M,EX.1JHX
429597,64537,2015-09-09,Scat,727,M,M1MYP
437500,64500,2016-02-11,Scat,727,M,M1PHP
449929,58530,2016-02-17,Urine,727,M,M21KX
441755,52188,2016-02-26,Saliva,727,M,M2256
447047,48892,2016-07-17,Saliva,727,M,M20EC
454350,56980,2016-11-15,Urine,727,M,M2071
504594,51246,2015-07-20,Scat,752,M,M1K5K
460460,56754,2016-01-13,Scat,752,M,M1T1X
512259,35970,2015-07-21,Scat,751,M,M1K5F
433972,67938,2015-07-27,Saliva,726,F,EX.1JH0
424960,61650,2015-08-14,Saliva,726,F,EX.1JJ5
425970,63690,2016-10-11,Saliva,726,F,M20A4
429374,63933,2017-01-11,Scat,726,F,M200F
432497,61836,2017-01-25,Scat,726,F,M1TU6
429472,63332,2017-01-25,Scat,726,F,M1XPY
427990,63120,2017-03-20,Scat,726,F,M1YH8
431699,60057,2017-04-21,Scat,726,F,M1T7L
488462,47348,2015-08-21,Saliva,659,M,EX.1JAC
488462,47348,2015-08-21,Saliva,659,M,EX.1JLC
472278,57595,2015-08-27,Scat,659,M,M1P4E
488333,47080,2015-09-07,Saliva,659,M,EX.1JCX
488333,47081,2015-09-07,Saliva,659,M,EX.1JCU
488333,47081,2015-09-07,Saliva,659,M,EX.1JE8
476093,53538,2015-09-18,Scat,659,M,M1PT4
488368,52325,2016-01-16,Urine,659,M,AL.05PE
488004,51570,2016-01-16,Urine,659,M,AL.05PJ
477865,58191,2016-08-20,Scat,659,M,M20MA
492264,47835,2016-10-14,Scat,659,M,M224C
478181,59388,2016-11-09,Urine,659,M,M20HH
478359,59086,2017-01-15,Scat,659,M,M203T
484150,63550,2017-01-26,Urine,659,M,M2021
488470,48390,2017-02-16,Scat,659,M,M1YXT
506186,55583,2015-08-27,Scat,731,F,M0P85
493657,46544,2016-02-03,Scat,731,F,M1UA7
486660,63860,2016-03-06,Scat,731,F,M1U75
500329,55869,2016-09-22,Scat,731,F,M20J7
497590,55447,2016-11-19,Scat,731,F,M20AE
499150,55880,2016-12-02,Scat,731,F,M20A7
498378,60459,2016-12-05,Scat,731,F,M207C
505049,63045,2016-12-06,Scat,731,F,M2075
492490,46480,2016-12-18,Scat,731,F,M2072
499790,55200,2016-12-21,Scat,731,F,M222T
497800,54000,2017-01-06,Urine,731,F,M22AX
498630,56590,2017-02-03,Scat,731,F,M224K
498840,56360,2017-02-20,Scat,731,F,M224M
498815,56709,2017-04-05,Scat,731,F,M1Y0P
498014,56761,2017-04-08,Scat,731,F,M1Y0K
429220,59530,2015-09-02,Saliva,797,M,M232U
449150,57705,2016-02-15,Urine,797,M,M21KU
449454,57357,2016-02-17,Urine,797,M,M21KT
426640,62950,2015-09-07,Scat,735,F,M0PY6
442389,77281,2016-01-17,Hair,735,F,M1044
424321,74913,2015-09-09,Scat,729,F,M1MT0
423278,77160,2015-09-12,Scat,729,F,M0P3H
414410,83413,2015-09-17,Scat,729,F,M0P3T
426550,75523,2015-11-15,Scat,729,F,M104E
468909,41147,2015-09-10,Scat,741,F,M110M
455117,54989,2015-09-11,Scat,738,M,M10HE
454529,52836,2015-11-10,Scat,738,M,M1TLJ
452600,53204,2015-12-10,Scat,738,M,M1TT5
455097,55045,2015-09-11,Scat,754,M,M1MKY
455117,54989,2015-09-11,Scat,755,F,M1MMM
453277,53747,2015-12-16,Scat,755,F,M1T27
445919,61053,2015-10-01,Scat,760,M,M1U0J
447994,59130,2015-12-08,Scat,760,M,M22U0
452329,76004,2015-10-11,Scat,764,F,M1X1X
452345,76093,2015-10-12,Saliva,764,F,M230J
452345,76093,2015-10-12,Saliva,764,F,M230K
452335,76069,2015-10-13,Saliva,764,F,M22UU
452355,76022,2015-10-14,Saliva,764,F,M2314
452342,75988,2015-10-15,Saliva,764,F,M230X
452342,75988,2015-10-15,Saliva,764,F,M2310
429077,63585,2015-10-12,Scat,826,M,M1H8Y
428530,64810,2015-10-13,Scat,826,M,M1H3M
423296,61961,2015-10-22,Tissue,826,M,M21M5
416802,41160,2015-10-18,Scat,743,M,M1HEE
426178,47719,2015-11-19,Scat,743,M,M1FMU
432473,42444,2016-04-03,Scat,743,M,M1HXC
428120,65870,2015-10-30,Saliva,803,M,M2331
428120,65870,2015-10-30,Saliva,803,M,M2332
428120,65870,2015-10-30,Saliva,803,M,M2333
445816,60368,2015-10-31,Tissue,824,M,M2203
449596,62833,2015-11-05,Scat,757,M,M1TLL
449939,61655,2015-11-15,Scat,757,M,M1P5L
503365,42490,2015-11-10,Scat,732,M,M1268
481887,65682,2016-10-17,Scat,732,M,M222H
489343,77076,2017-01-18,Scat,732,M,M0PE1
492952,78525,2017-01-18,Urine,732,M,M1PEP
503680,41270,2015-11-12,Tissue,823,M,M2202
455270,41055,2015-11-15,Scat,740,M,M10XM
454785,41379,2015-11-16,Scat,734,F,M0PLL
426178,47719,2015-11-18,Saliva,748,F,M232K
432550,42608,2016-04-03,Scat,748,F,M1HXJ
489872,48056,2015-11-24,Urine,661,M,AL.05PU
489887,48370,2015-11-24,Scat,661,M,M235L
489223,48585,2015-11-24,Scat,661,M,M235X
474083,61676,2015-12-03,Scat,661,M,M2366
475371,59287,2016-02-08,Scat,661,M,M1PX2
479000,57200,2016-08-20,Scat,661,M,M20MU
478629,57094,2016-08-28,Scat,661,M,M1KAJ
476809,58045,2016-08-28,Scat,661,M,M20MX
489363,48876,2015-11-24,Scat,753,M,M2360
474876,60242,2015-12-03,Scat,753,M,M2368
475371,59300,2016-02-08,Scat,753,M,M1PMA
476360,57822,2016-07-19,Scat,753,M,M1KE8
474430,60790,2016-12-13,Scat,753,M,M2238
486860,48720,2016-12-22,Scat,753,M,M20AL
488400,48400,2017-02-16,Scat,753,M,M1YXX
505968,42435,2017-03-13,Scat,753,M,M1YJF
427460,62990,2015-11-28,Scat,746,M,M1H7T
437360,63606,2015-12-18,Tissue,746,M,M2204
439345,63767,2016-01-01,Scat,733,M,M0PL2
446961,60114,2016-01-26,Scat,733,M,M226H
447446,51074,2016-03-06,Scat,733,M,M2207
434107,127770,2016-03-28,Scat,733,M,M1X3K
431672,128766,2016-09-12,Scat,733,M,M20HU
431198,127853,2016-12-24,Scat,733,M,M204P
429430,124775,2016-12-31,Scat,733,M,M0PKA
447543,59080,2016-02-05,Scat,798,F,M226E
446089,60758,2016-03-05,Scat,798,F,M21L0
446589,60755,2016-02-05,Scat,799,F,M2268
450348,61149,2016-02-05,Scat,799,F,M226K
437356,63331,2016-05-23,Tissue,799,F,M2122
448924,58620,2016-02-10,Scat,800,F,M226J
488873,47751,2016-02-26,Scat,758,F,M21LK
463173,76985,2016-02-26,Scat,758,F,M224X
478861,55875,2016-04-11,Scat,758,F,M1T5L
489294,44285,2016-08-24,Scat,758,F,M20LA
477355,57671,2016-09-07,Scat,758,F,M20KY
488090,45100,2016-12-22,Scat,758,F,M1UJA
475368,85685,2016-02-26,Tissue,819,M,M2206
464625,77506,2016-03-14,Scat,313,M,M1378
464542,82156,2016-03-30,Scat,742,M,M17JT
432565,43610,2016-04-03,Scat,745,F,M1H52
438200,80300,2016-04-29,Scat,314,M,M21KJ
-5792,-3901,2016-05-04,Scat,728,F,M1TT6
-3377,-5955,2016-05-04,Scat,728,F,M0FHE
504902,56757,2016-07-20,Scat,739,M,M1TJJ
497553,56663,2016-09-26,Scat,739,M,M10UJ
485506,62320,2017-01-20,Urine,739,M,M205A
485721,61960,2017-01-20,Urine,739,M,M205E
485714,61944,2017-01-20,Urine,739,M,M205L
484160,63550,2017-01-26,Urine,739,M,M201Y
491571,67904,2017-04-14,Scat,739,M,M223H
438644,102072,2016-07-21,Saliva,796,F,M20PK
448608,79798,2016-08-21,Scat,766,F,M20P4
464260,61949,2016-12-15,Scat,766,F,M1XF5
445523,84102,2016-12-20,Scat,766,F,M1X5K
446570,89120,2016-12-31,Scat,766,F,M20AK
447670,86478,2017-02-10,Scat,766,F,M200M
458924,76300,2017-03-15,Scat,766,F,M1YF3
457150,57045,2016-08-29,Scat,773,M,M20J6
458440,56460,2016-11-04,Scat,773,M,M20AM
457578,56302,2017-01-23,Urine,773,M,M1YY1
458053,55593,2017-01-24,Urine,773,M,M1YYF
458525,53767,2017-01-25,Urine,773,M,M1YYE
460469,55298,2017-01-26,Urine,773,M,M1YYL
460480,56550,2017-02-22,Scat,773,M,M1YTA
457800,57330,2017-02-26,Scat,773,M,M1YH5
458600,59400,2017-03-22,Scat,773,M,M1YH6
463931,55740,2016-09-12,Scat,783,F,M20HY
463931,55740,2016-09-12,Scat,783,F,M20J0
455250,56330,2016-10-05,Scat,783,F,M20J5
461490,59317,2017-02-05,Scat,783,F,M1YT3
423450,63490,2016-09-30,Saliva,795,M,M20AP
432470,62570,2017-01-26,Scat,795,M,M228J
451493,81676,2016-10-18,Scat,750,M,M20HX
449458,78384,2017-02-10,Scat,750,M,M1K28
450051,81816,2017-02-20,Saliva,750,M,M1YJ3
467844,66161,2017-03-14,Scat,750,M,M1YTE
448731,58646,2016-11-03,Scat,794,F,M20AC
497452,50488,2016-11-04,Scat,759,F,M1TJ5
497490,56680,2016-12-22,Scat,759,F,M2236
496600,60300,2016-11-09,Saliva,785,M,M20C3
452250,59900,2017-02-21,Urine,785,M,M2003
496260,60300,2016-12-01,Scat,790,M,M207A
495500,43260,2017-01-12,Scat,790,M,M204M
484530,58470,2016-12-06,Scat,793,M,M20A6
485410,50740,2016-12-21,Scat,793,M,M206F
474540,60420,2016-12-13,Scat,776,M,M2232
489090,47880,2017-01-24,Scat,776,M,M202X
473123,64511,2017-03-02,Scat,776,M,M1YJM
445362,83135,2016-12-16,Scat,765,M,M1XFK
449656,78384,2017-02-10,Scat,765,M,M2002
448380,84962,2017-02-15,Scat,765,M,M1YYY
453176,80288,2017-02-17,Scat,765,M,M1X4C
450051,81816,2017-02-20,Saliva,765,M,M1YJ2
467917,66046,2017-03-14,Scat,765,M,M1YPL
450167,82116,2017-04-10,Saliva,765,M,M1Y0U
506552,37602,2016-12-29,Scat,730,M,M1F2K
489820,64320,2017-01-05,Scat,730,M,M0P84
411372,94813,2016-12-29,Scat,784,M,M223X
408377,92203,2016-12-29,Scat,784,M,M22AJ
408772,92805,2017-02-26,Urine,784,M,M1YY3
408668,92402,2017-02-26,Scat,784,M,M200P
408633,92316,2017-02-26,Scat,784,M,M224F
408895,93067,2017-02-26,Urine,784,M,M22A2
452905,84086,2017-01-02,Saliva,792,F,M2064
436290,62335,2017-01-04,Tissue,779,M,M1YMF
515266,63370,2017-01-09,Urine,736,M,M1084
534450,73330,2017-02-12,Urine,736,M,M1YYC
515158,63195,2017-01-09,Urine,791,F,M2057
533880,73600,2017-02-11,Scat,791,F,M2278
420787,45936,2017-01-16,Scat,789,M,M204J
449532,84038,2017-01-19,Saliva,807,M,M1YP4
449345,83727,2017-01-21,Scat,807,M,M203U
450188,82093,2017-03-04,Saliva,807,M,M1YJ6
458100,76244,2017-03-15,Scat,807,M,M1YF4
489563,36143,2017-01-22,Scat,761,M,M1U5H
489563,36143,2017-01-22,Scat,761,M,M2271
489588,36148,2017-01-22,Urine,762,M,M201X
489563,36143,2017-01-22,Urine,762,M,M2030
485254,37891,2017-01-25,Scat,762,M,M1U80
463017,57870,2017-01-22,Scat,782,M,M1YPM
461200,59180,2017-02-05,Scat,782,M,M1YT0
489588,36148,2017-01-22,Urine,788,F,M2022
432609,64168,2017-01-25,Scat,767,F,M1XA7
431382,63515,2017-01-25,Tissue,767,F,M1YP0
436319,84511,2017-01-25,Tissue,780,F,M1YMH
455788,41298,2017-01-26,Scat,747,M,M1HJ4
456240,40830,2017-01-26,Scat,749,M,M1J4C
432234,62125,2017-01-26,Scat,801,M,M22AM
435603,47095,2017-01-28,Scat,781,F,M2004
435643,47172,2017-01-30,Tissue,781,F,M1YMM
445560,56150,2017-02-03,Scat,787,F,M200C
450861,61260,2017-02-14,Scat,772,M,M2008
448700,57430,2017-04-01,Scat,772,M,M1YH4
457500,59600,2017-02-15,Scat,786,F,M2007
473160,64460,2017-02-19,Scat,771,M,M200T
484315,51497,2017-04-11,Saliva,771,M,M1YFJ
506172,43553,2017-02-25,Urine,769,F,M1YXE
511366,37953,2017-04-13,Scat,769,F,M1YFA
473155,64564,2017-03-02,Scat,777,F,M1YJT
473114,64586,2017-03-02,Scat,777,F,M1YJU
450670,45320,2017-03-08,Scat,774,M,M1YJK
454324,40826,2017-03-10,Scat,778,F,M1YJY
442166,70368,2017-03-14,Scat,775,F,M1YJL
434989,78592,2017-04-13,Scat,763,F,M1YFE
426986,72623,2017-04-24,Scat,763,F,M1ULL
433648,79282,2017-04-24,Scat,763,F,M1XA5
425711,74517,2017-04-24,Scat,763,F,M1Y0M
425956,74731,2017-04-24,Scat,763,F,M2284
512952,34914,2017-04-13,Scat,770,F,M1YFC
448032,37047,2017-04-14,Scat,737,M,M10F6
448032,37047,2017-04-14,Scat,737,M,M1XAA
440151,58571,2017-04-18,Scat,768,F,M1Y0T
